Posição,Código IBGE,Município,UF,População
1º,3550308,São Paulo,São Paulo,12106920
2º,3304557,Rio de Janeiro,Rio de Janeiro,6520266
3º,5300108,Brasília,Distrito Federal,3039444
4º,2927408,Salvador,Bahia,2953986
5º,2304400,Fortaleza,Ceará,2627482
6º,3106200,Belo Horizonte,Minas Gerais,2523794
7º,1302603,Manaus,Amazonas,2130264
8º,4106902,Curitiba,Paraná,1908359
9º,2611606,Recife,Pernambuco,1633697
10º,4314902,Porto Alegre,Rio Grande do Sul,1484941
11º,5208707,Goiânia,Goiás,1466105
12º,1501402,Belém,Pará,1452275
13º,3518800,Guarulhos,São Paulo,1349113
14º,3509502,Campinas,São Paulo,1182429
15º,2111300,São Luís,Maranhão,1091868
16º,3304904,São Gonçalo,Rio de Janeiro,1049826
17º,2704302,Maceió,Alagoas,1029129
18º,3301702,Duque de Caxias,Rio de Janeiro,890997
19º,2408102,Natal,Rio Grande do Norte,885180
20º,5002704,Campo Grande,Mato Grosso do Sul,874210
21º,2211001,Teresina,Piauí,850198
22º,3548708,São Bernardo do Campo,São Paulo,827437
23º,2507507,João Pessoa,Paraíba,811598
24º,3303500,Nova Iguaçu,Rio de Janeiro,798647
25º,3547809,Santo André,São Paulo,715231
26º,3549904,São José dos Campos,São Paulo,703219
27º,3534401,Osasco,São Paulo,697886
28º,2607901,Jaboatão dos Guararapes,Pernambuco,695956
29º,3543402,Ribeirão Preto,São Paulo,682302
30º,3170206,Uberlândia,Minas Gerais,676613
31º,3552205,Sorocaba,São Paulo,659871
32º,3118601,Contagem,Minas Gerais,658580
33º,2800308,Aracaju,Sergipe,650106
34º,2910800,Feira de Santana,Bahia,627477
35º,5103403,Cuiabá,Mato Grosso,590118
36º,4209102,Joinville,Santa Catarina,577077
37º,3136702,Juiz de Fora,Minas Gerais,563769
38º,4113700,Londrina,Paraná,558439
39º,5201405,Aparecida de Goiânia,Goiás,542090
40º,1100205,Porto Velho,Rondônia,519436
41º,1500800,Ananindeua,Pará,516057
42º,3205002,Serra,Espírito Santo,502618
43º,3303302,Niterói,Rio de Janeiro,499028
