ID,Estilo,Acabamento,PosDir,Instrumentos,Interior,Malas,Desempenho,Motor,Cambio,Freios,Suspensao,Consumo,Estabilidade,CustoBeneficio,Recomendacao,AvGeral
e2b9dc08,7,5,7,10,5,5,10,10,10,10,10,10,10,10,10,8.6
3b9dcf63,10,8,8,8,6,6,8,10,10,10,8,10,8,10,10,8.666666666666666
9f62a709,10,7,8,7,7,8,7,10,7,10,9,10,8,10,10,8.533333333333333
0e6c8d29,8,4,8,10,7,7,10,10,8,9,8,10,10,9,10,8.533333333333333
3c958631,7,6,5,7,6,4,8,9,7,7,6,8,9,8,9,7.066666666666666
852a54b4,8,7,8,10,7,6,9,9,9,7,8,10,7,9,9,8.2
dc686d42,8,2,5,7,6,7,8,8,7,6,5,10,8,10,9,7.066666666666666
f8a6d3f6,9,5,10,10,6,6,9,10,10,8,8,9,9,10,9,8.533333333333333
8cd5fbf4,8,7,7,6,7,7,7,7,7,7,8,9,8,8,9,7.466666666666667
dc655dbb,9,8,8,6,7,9,7,7,9,8,8,10,10,10,10,8.4
54bc72dc,5,2,2,8,5,5,7,7,6,6,5,10,8,8,7,6.066666666666666
7ba08042,7,6,9,4,3,2,9,9,8,10,8,9,6,8,9,7.133333333333334
5e6201ae,8,7,8,7,8,6,5,8,7,9,8,9,8,10,8,7.733333333333333
4573aa7a,9,10,10,10,10,10,10,10,10,10,7,10,8,10,10,9.6
7bd2eb85,6,5,5,5,5,4,4,5,5,5,5,8,8,8,8,5.733333333333333
b353ce0e,7,7,8,7,7,7,7,8,7,7,7,8,8,9,8,7.466666666666667
b37f69c0,6,4,7,7,5,5,8,9,7,7,5,8,8,8,8,6.8
012ea5cf,8,6,5,10,3,5,6,6,5,10,7,8,9,7,8,6.866666666666666
eb91ebb6,10,5,10,9,9,7,10,2,9,9,9,10,7,10,9,8.333333333333334
e8ee433e,8,8,9,8,5,8,8,9,8,7,5,10,8,10,10,8.066666666666666
e8ff15e6,8,9,7,8,8,7,9,9,9,10,10,10,9,9,10,8.8
d72e00d4,9,7,7,10,8,8,9,8,7,9,7,8,8,10,10,8.333333333333334
a2394ba9,10,7,7,10,6,10,7,8,6,7,7,8,7,8,8,7.733333333333333
59625757,8,9,10,10,9,9,10,10,8,10,10,9,10,9,10,9.4
cf0c23e9,9,4,4,2,5,5,9,9,7,10,10,10,10,9,8,7.4
977e41f7,5,5,6,6,5,5,5,6,6,6,6,5,7,8,7,5.866666666666666
1a5c0f07,7,0,6,7,5,5,5,8,0,8,4,10,7,7,2,5.4
ade11209,9,8,10,10,9,8,10,10,8,9,9,10,9,9,10,9.2
5aa6f062,10,9,9,10,9,9,9,9,10,10,10,10,10,10,10,9.6
1244e307,10,8,10,10,2,2,5,8,8,8,8,10,10,10,10,7.933333333333334
dcc76a23,8,6,8,8,7,6,8,8,6,6,5,7,8,9,8,7.2
c8f966aa,10,5,8,10,4,4,9,10,8,7,5,8,6,10,10,7.6
9e8bf07b,10,5,6,8,5,5,10,9,7,7,7,10,7,7,7,7.333333333333333
91764233,7,1,3,6,1,4,9,9,8,8,7,5,9,8,8,6.2
956e2c54,9,7,6,7,6,7,9,9,9,7,8,10,7,10,10,8.066666666666666
8813f823,6,5,4,7,5,4,7,9,9,7,6,7,6,9,8,6.6
e8d856cd,10,3,3,6,2,5,3,6,10,7,6,10,4,10,10,6.333333333333333
2d242bec,7,3,9,6,6,5,7,8,9,7,4,9,3,7,7,6.466666666666667
db87682a,9,6,7,8,8,6,9,9,10,9,9,9,9,8,9,8.333333333333334
fa99a893,10,8,8,10,9,9,10,10,8,9,10,10,10,10,10,9.4
eb6da9a6,7,2,3,9,6,5,6,6,8,7,5,8,7,7,8,6.266666666666667
d2640e92,7,3,6,3,3,3,3,6,7,7,7,4,7,8,7,5.4
8c18519c,8,6,8,9,6,6,8,7,8,7,8,8,6,8,9,7.466666666666667
11c09657,5,5,5,3,3,5,6,5,10,7,5,10,5,7,5,5.733333333333333
ecd1c28a,9,7,6,8,7,8,9,10,10,9,8,10,7,9,9,8.4
b908cfdc,8,5,7,5,6,5,7,8,7,7,8,9,8,10,9,7.266666666666667
4b18b4f6,8,6,9,4,6,8,10,10,10,8,9,10,9,9,8,8.266666666666667
0f62838a,4,3,4,8,0,5,9,7,10,9,2,8,4,5,6,5.6
24808419,5,5,10,10,5,4,7,10,10,10,6,10,6,10,10,7.866666666666666
1e3e3435,5,3,4,3,5,4,6,8,6,5,4,7,5,9,5,5.266666666666667
b69dd579,7,6,6,7,6,6,7,7,7,8,8,8,7,7,7,6.933333333333334
f4e3d42d,8,2,8,5,4,4,8,5,5,6,5,8,7,8,2,5.666666666666667
757215ca,5,5,7,5,6,8,6,9,8,7,7,10,8,9,9,7.266666666666667
0be56d7a,7,5,7,7,5,5,8,8,7,8,6,8,6,7,8,6.8
f1bb7133,8,7,8,9,7,6,10,10,9,6,8,9,7,10,9,8.2
be5a98e5,7,0,3,7,0,0,4,1,5,5,5,3,3,4,2,3.2666666666666666
1e3ea7e1,5,4,3,8,6,6,9,8,9,8,8,10,8,9,10,7.4
64809382,8,4,9,9,5,3,9,7,5,6,2,6,6,3,5,5.8
b6fb0452,8,6,7,8,7,8,7,9,8,9,7,8,7,9,8,7.733333333333333
81b30293,8,6,8,8,8,9,10,10,8,9,9,10,9,10,10,8.8
ddee923b,9,2,5,7,3,3,8,10,8,6,5,9,9,10,10,6.933333333333334
be3f6ca1,7,4,2,3,4,6,5,8,8,8,6,9,10,8,8,6.4
0c10a045,6,4,7,5,4,4,6,8,6,5,4,7,5,6,7,5.6
dc1a45ff,7,5,7,7,6,5,7,7,6,6,7,9,9,9,9,7.066666666666666
4958592b,10,10,8,5,8,10,10,10,10,7,10,9,10,10,10,9.133333333333333
e6bb5d64,8,5,5,8,5,5,7,8,7,8,8,9,4,9,8,6.933333333333334
09e9c39d,8,8,6,9,8,6,10,10,10,10,8,9,8,10,10,8.666666666666666
b62c23c1,8,8,10,9,8,6,7,9,9,9,8,10,9,9,10,8.6
e9e109a2,6,3,4,8,4,4,8,8,5,4,5,10,7,9,10,6.333333333333333
50a8ca81,7,6,7,8,9,7,9,9,5,9,9,9,9,9,9,8.066666666666666
bee28ab8,7,6,7,7,7,6,10,10,10,7,8,10,8,8,8,7.933333333333334
391b657d,8,8,4,9,6,4,8,8,8,8,8,10,8,10,10,7.8
b1eb78f6,9,7,10,10,8,8,9,9,10,10,10,10,9,10,10,9.266666666666667
37749367,5,3,4,2,4,6,5,2,4,3,2,7,5,4,5,4.066666666666666
5cc7074a,8,5,8,10,7,8,10,10,8,8,5,6,4,10,9,7.733333333333333
0161a5fb,7,5,7,6,7,7,7,7,7,6,6,9,7,9,7,6.933333333333334
18c9a951,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0.4
19b641b0,7,1,7,7,6,5,7,7,0,0,0,8,7,5,2,4.6
13206a55,6,3,8,9,3,3,6,10,10,9,2,9,5,9,4,6.4
